Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),NAT Gateway,Amazon Virtual Private Cloud (VPC),0,263.25,3159,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,640.07,7680.84,USD,"Data transfer out to internet (5 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (75000 per month)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,117.76,1413.12,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,102.4,1228.8,USD,"DT Inbound: Internet (2 TB per month), DT Inbound: All other regions (3 TB per month), DT Outbound: Amazon CloudFront (10 TB per month), DT Outbound: All other regions (5 TB per month)"
My Estimate,US East (N. Virginia),EC2,Amazon EC2,0,434.75,5217,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for MySQL,0,14195.7,170348.4,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (45 TB), Quantity (1), Instance type (db.m1.xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (30 TB)"
My Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,2352.43,28229.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ELB,Network Load Balancer,0,892.43,10709.16,USD,"Number of Network Load Balancers (1), Average number of new TLS connections (10000 per second), Average TLS connection duration (1 seconds)"
My Estimate,US East (N. Virginia),Elastic IP,Amazon Elastic IP,0,10.75,129,USD,"Number of EC2 instances (5), Number of EIPs per instance (1), Number of EIP remaps (100)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
"Changes: To keep the cost between $18,000 and $20,000, I have changed EC2 instance from t2.large to t2.xlarge, and RDS instance from db.m1.large to db.m1.xlarge.",,,,,,,,
https://calculator.aws/#/estimate?id=9747936bdb06f658338d37938e2f2cfc754b16fa,,,,,,,,
